caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracao_via_interface_matrix,2,6,1,2,4,43
extracao_via_interface_matrix,2,7,1,2,4,43
extracao_via_interface_matrix,2,8,1,2,4,43
extracao_via_interface_matrix,2,9,1,2,4,43
extracao_via_interface_matrix,2,10,1,2,4,43
extracao_via_interface_matrix,2,11,1,2,4,43
extracao_via_interface_matrix,2,12,1,2,4,43
extracao_via_interface_matrix,2,13,1,2,4,43
extracao_via_interface_matrix,2,14,1,2,4,43
extracao_via_interface_matrix,3,1,2,15,12,47
extracao_via_interface_matrix,3,2,2,15,12,47
extracao_via_interface_matrix,3,3,2,15,12,47
extracao_via_interface_matrix,3,4,2,15,12,47
extracao_via_interface_matrix,3,5,2,15,12,47
extracao_via_interface_matrix,3,6,2,15,12,47
extracao_via_interface_matrix,3,7,2,15,12,47
extracao_via_interface_matrix,3,8,2,15,12,47
extracao_via_interface_matrix,3,9,2,15,12,47
extracao_via_interface_matrix,3,10,2,15,12,47
extracao_via_interface_matrix,3,11,2,15,12,47
extracao_via_interface_matrix,3,12,2,15,12,47
extracao_via_interface_matrix,3,13,2,15,12,47
extracao_via_interface_matrix,3,14,2,15,12,47
extracao_via_interface_matrix,3,15,2,15,12,47
extracao_via_interface_matrix,3,16,2,15,12,47
extracao_via_interface_matrix,3,17,2,15,12,47
extracao_via_interface_matrix,3,18,2,15,12,47
extracao_via_interface_matrix,3,19,2,15,12,47
extracao_via_interface_matrix,3,20,2,15,12,47
extracao_em_modo_llt,1,1,1,5,4,51
extracao_em_modo_llt,1,2,2,5,4,51
extracao_em_modo_llt,1,3,1,5,4,51
extracao_em_modo_llt,1,4,2,5,4,51
extracao_em_modo_llt,1,5,1,5,4,51
extracao_em_modo_llt,1,6,1,5,4,51
extracao_em_modo_llt,1,7,1,5,4,51
extracao_em_modo_llt,1,8,2,5,4,51
extracao_em_modo_llt,1,9,1,5,4,51
extracao_em_modo_llt,1,10,1,5,4,51
extracao_em_modo_llt,1,11,2,5,4,51
extracao_em_modo_llt,1,12,2,5,4,51
extracao_em_modo_llt,1,13,2,5,4,51
extracao_em_modo_llt,1,14,2,5,4,51
extracao_em_modo_llt,1,15,2,5,4,51
extracao_em_modo_llt,1,16,1,5,4,51
extracao_em_modo_llt,1,17,2,5,4,51
extracao_em_modo_llt,1,18,1,5,4,51
extracao_em_modo_llt,1,19,1,5,4,51
extracao_em_modo_llt,1,20,2,5,4,51
extracao_em_modo_llt,1,21,1,5,4,51
extracao_em_modo_llt,1,22,1,5,4,51
extracao_em_modo_llt,1,23,1,5,4,51
extracao_em_modo_llt,1,24,2,5,4,51
extracao_em_modo_llt,1,25,1,5,4,51
extracao_em_modo_llt,1,26,1,5,4,51
extracao_em_modo_llt,1,27,2,5,4,51
extracao_em_modo_llt,1,28,1,5,4,51
extracao_em_modo_llt,1,29,1,5,4,51
extracao_em_modo_llt,2,1,2,38,10,51
extracao_em_modo_llt,2,2,2,38,10,51
extracao_em_modo_llt,2,3,2,38,10,51
extracao_em_modo_llt,2,4,2,38,10,51
extracao_em_modo_llt,2,5,2,38,10,51
extracao_em_modo_llt,2,6,2,38,10,51
extracao_em_modo_llt,2,7,2,38,10,51
extracao_em_modo_llt,2,8,2,38,10,51
extracao_em_modo_llt,2,9,2,38,10,51
extracao_em_modo_llt,2,10,2,38,10,51
extracao_em_modo_llt,2,11,2,38,10,51
extracao_em_modo_llt,2,12,2,38,10,51
extracao_em_modo_llt,2,13,2,38,10,51
extracao_em_modo_llt,2,14,2,38,10,51
extracao_em_modo_llt,2,15,2,38,10,51
extracao_em_modo_llt,2,16,2,38,10,51
extracao_em_modo_llt,2,17,2,38,10,51
extracao_em_modo_llt,2,18,2,38,10,51
extracao_em_modo_llt,2,19,2,38,10,51
extracao_em_modo_llt,2,20,2,38,10,51
extracao_em_modo_llt,2,21,2,38,10,51
extracao_em_modo_llt,2,22,2,38,10,51
extracao_em_modo_llt,3,1,1,1,1,98
extracao_em_modo_llt,3,2,1,1,1,98
extracao_em_modo_llt,3,3,1,1,1,98
extracao_em_modo_llt,3,4,1,1,1,98
extracao_em_modo_llt,3,5,1,1,1,98
extracao_em_modo_llt,3,6,1,1,1,98
extracao_em_modo_llt,3,7,1,1,1,98
extracao_em_modo_llt,3,8,1,1,1,98
extracao_em_modo_llt,3,9,1,1,1,98
extracao_em_modo_llt,3,10,1,1,1,98
extracao_em_modo_llt,3,11,1,1,1,98
extracao_em_modo_llt,3,12,1,1,1,98
extracao_em_modo_llt,3,13,1,1,1,98
extracao_em_modo_llt,3,14,1,1,1,98
extracao_em_modo_llt,3,15,1,1,1,98
extracao_em_modo_llt,3,16,1,1,1,98
extracao_em_modo_llt,3,17,1,1,1,98
extracao_em_modo_llt,3,18,1,1,1,98
extracao_em_modo_llt,3,19,1,1,1,98
extracao_em_modo_llt,3,20,1,1,1,98
extracao_em_modo_llt,3,21,1,1,1,98
extracao_em_modo_llt,3,22,1,1,1,98
extracao_em_modo_llt,3,23,1,1,1,98
extracao_em_modo_llt,3,24,1,1,1,98
extracao_em_modo_llt,3,25,1,1,1,98
extracao_em_modo_llt,3,26,1,1,1,98
extracao_em_modo_llt,3,27,1,1,1,98
extracao_em_modo_llt,3,28,1,1,1,98
extracao_em_modo_llt,3,29,1,1,1,98
extracao_em_modo_llt,3,30,1,1,1,98
extracao_em_modo_llt,3,31,1,1,1,98
extracao_em_modo_llt,3,32,1,1,1,98
extracao_em_modo_llt,3,33,1,1,1,98
extracao_em_modo_llt,3,34,1,1,1,98
