caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracoes_por_diretorio,1,4,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,5,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,6,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,7,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,8,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,9,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,10,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,11,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,12,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,13,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,14,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,1,15,obsoleto_funcionalidade_alterada,22,4,78
extracoes_por_diretorio,2,1,obsoleto_funcionalidade_nao_alterada,27,12,67
extracoes_por_diretorio,2,2,obsoleto_funcionalidade_nao_alterada,22,12,67
extracoes_por_diretorio,2,3,obsoleto_funcionalidade_nao_alterada,22,12,67
extracoes_por_diretorio,2,4,obsoleto_funcionalidade_nao_alterada,22,12,67
extracoes_por_diretorio,2,5,obsoleto_funcionalidade_nao_alterada,22,12,67
extracoes_por_diretorio,2,6,obsoleto_funcionalidade_nao_alterada,22,12,67
extracoes_por_diretorio,2,7,obsoleto_funcionalidade_nao_alterada,22,12,67
extracoes_por_diretorio,2,8,obsoleto_funcionalidade_nao_alterada,22,12,67
extracoes_por_diretorio,3,1,obsoleto_funcionalidade_alterada,8,6,67
extracoes_por_diretorio,3,2,obsoleto_funcionalidade_alterada,8,6,67
extracoes_por_diretorio,3,3,obsoleto_funcionalidade_alterada,8,6,67
extracoes_por_diretorio,3,4,obsoleto_funcionalidade_alterada,8,6,67
extracoes_por_diretorio,3,5,obsoleto_funcionalidade_alterada,8,6,67
extracoes_por_diretorio,3,6,obsoleto_funcionalidade_alterada,8,6,67
extracoes_por_diretorio,3,7,obsoleto_funcionalidade_alterada,8,6,67
extracoes_por_diretorio,3,8,obsoleto_funcionalidade_alterada,8,6,67
extracao_via_interface_matrix,1,1,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,2,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,3,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,4,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,5,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,6,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,7,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,8,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,9,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,10,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,11,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,12,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,13,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,1,14,obsoleto_funcionalidade_alterada,18,9,44
extracao_via_interface_matrix,2,1,reutilizavel,2,4,43
extracao_via_interface_matrix,2,2,reutilizavel,2,4,43
extracao_via_interface_matrix,2,3,reutilizavel,2,4,43
extracao_via_interface_matrix,2,4,reutilizavel,2,4,43
extracao_via_interface_matrix,2,5,reutilizavel,2,4,43
extracao_via_interface_matrix,2,6,reutilizavel,2,4,43
extracao_via_interface_matrix,2,7,reutilizavel,2,4,43
extracao_via_interface_matrix,2,8,reutilizavel,2,4,43
extracao_via_interface_matrix,2,9,reutilizavel,2,4,43
extracao_via_interface_matrix,2,10,reutilizavel,2,4,43
extracao_via_interface_matrix,2,11,reutilizavel,2,4,43
extracao_via_interface_matrix,2,12,reutilizavel,2,4,43
extracao_via_interface_matrix,2,13,reutilizavel,2,4,43
extracao_via_interface_matrix,2,14,reutilizavel,2,4,43
extracao_via_interface_matrix,3,1,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,2,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,3,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,4,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,5,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,6,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,7,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,8,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,9,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,10,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,11,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,12,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,13,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,14,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,15,obsoleto_funcionalidade_alterada,15,12,47
extracao_via_interface_matrix,3,16,obsoleto_funcionalidade_alterada,15,12,47
